feature,importance
time_in_cycles,0.5398705471546698
unit_number,0.17087419358325814
sensor_11,0.13394920745123856
sensor_9,0.03193374030515296
sensor_4,0.027581993306792323
sensor_12,0.01986329855737736
sensor_14,0.017281937594634696
sensor_7,0.009961443231398918
sensor_13,0.00744857996106371
sensor_15,0.006874664922251546
sensor_8,0.006471953656660939
sensor_21,0.006222363774204097
sensor_2,0.00531980454016884
sensor_3,0.004524037199356103
sensor_20,0.00450318525433546
op_setting_1,0.0033911130975347193
op_setting_2,0.0022030180778062616
sensor_17,0.0016146137535333269
sensor_6,0.00011030457856224522
sensor_1,0.0
sensor_10,0.0
sensor_16,0.0
sensor_18,0.0
sensor_19,0.0
sensor_5,0.0
op_setting_3,0.0
